Province,Nearest major airport,Range/Region,Year first climbed,Name,Convenient Center,Difficulty,Country,Most recent eruption,Best months for climbing,Id,Elevation (meters),Heights,First successful climber(s),State,Longitude,Volcanic status,Elevation (feet),Latitude,Continent
,katmandu,central nepal himalaya,,thamserku,namche bazaar,major mountain expedition,Nepal,,"apr, may",3240,6623.0,21729 ft/6623 m,,,86.8639,,21729.0,27.8617,asia
,madrid,castile ranges,,peñalara,segovia,walk up,Spain,,"apr, may, jun, jul, aug, sep, oct",3247,2428.0,7966 ft/2428 m,,,-3.955593,,7966.0,40.850956,europe
,mehrabad (tehran),alborz,,kolakchal,tehran - shemiranat,,Iran,,"apr, may, jun, jul, aug, sep, oct",3246,3300.0,10827 ft/3300 m,,,51.273,,10827.0,35.513,asia
,seattle-tacoma,olympic mountains,,"bretherton, mount",shelton,scramble,United States,,"jul, aug, sep, oct",3245,1817.0,5960 ft/1817 m,,washington,-123.210211,,5960.0,47.619558,north america
,lima,peruvian andes,,huapi,huaraz,basic snow/ice climb,Peru,,"jun, jul, aug, sep",1990,5421.0,17785 ft/5421 m,,,,,17785.0,,south america
,milan,ortler alps,,cima villacorna,bormio,walk up,Italy,,"jun, jul, aug, sep",4404,3447.0,11309 ft/3447 m,,,10.55453,,11309.0,46.36953,europe
,seattle,cascade range,,"magrst, mount",ashford,walk up,United States,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",829,1685.0,5528 ft/1685 m,,washington,,,5528.0,,north america
,seattle,cascade range,,"beljica, mount",ashford,walk up,United States,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",828,1669.0,5475 ft/1669 m,,washington,-121.940646,,5475.0,46.784223,north america
,"munich, augsburg",,,besler,oberstdorf,walk up,Germany,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",825,1680.0,5512 ft/1680 m,,,,,5512.0,,europe
alberta,"calgary, ab",canadian rockies,1899.0,"niblock, mount","lake louise, ab",scramble,Canada,,"jul, aug",824,2976.0,9764 ft/2976 m,walter wilcox,,-116.272087,,9764.0,51.417088,north america
,seattle,cascade range,,"ark, the",north bend,walk up,United States,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",827,1627.0,5339 ft/1627 m,,washington,-121.540761,,5339.0,47.588799,north america
,seattle,cascade range,,twin peaks,north bend,walk up,United States,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",826,1623.0,5325 ft/1623 m,,washington,-121.603632,,5325.0,47.612673,north america
,seattle,cascade range,1935.0,dome peak,darrington,basic snow/ice climb,United States,,"jun, jul, aug, sep",821,2719.0,8920 ft/2719 m,george freed and eric larson,washington,-121.031772,,8920.0,48.301791,north america
,,,,fort william,,basic snow/ice climb,United Kingdom,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",1827,27.0,90 ft/27 m,,,,,90.0,,europe
,geneve,,1893.0,dent du requin,chamonix,scramble,France,,"jun, jul, aug, sep",823,3422.0,11227 ft/3422 m,"g.hastings, a.mummery, n.collie, w.slingsby",,,,11227.0,,europe
,innsbruck,maritime alps,,ahornspitze,mayrhofen,,Austria,,"jul, aug",822,2976.0,9764 ft/2976 m,,,,,9764.0,,europe
,iloilo international airport,,,manaphag,"concepcio, iloilo",scramble,Philippines,,,4259,530.0,1739 ft/530 m,,,123.167515,,1739.0,11.278824,asia
,innsbruck,otztal alps,1976.0,koksidon spitze,vent,walk up,Austria,,"jul, aug, sep",1826,3320.0,10892 ft/3320 m,wout-jan koridon & arthur koks,,,,10892.0,,europe
,melbourne,south nsw great dividing range,,black jack mountain,jindabyne,,Australia,,,2284,1174.0,3852 ft/1174 m,,,148.833,,3852.0,-37.25,australia/oceania
,marseille-marignane,maritime alps,,pic de bertagne,marseille,walk up,France,,"apr, may, jun, sep, oct, nov",1176,1049.0,3442 ft/1049 m,,,5.7,,3442.0,43.3,europe
,,,,blanc de moming,zinal (wallis),scramble,Switzerland,,"jul, aug",1821,3663.0,12018 ft/3663 m,,,,,12018.0,,europe
,"albuquerque, nm",,,manzano,"mountainaire, nm",walk up,United States,,"may, jun, jul, aug, sep, oct",618,3072.0,10078 ft/3072 m,,new mexico,-106.446,,10078.0,34.5908,north america
,canberra,south nsw great dividing range,,the pyramid,tuggeranong,walk up,Australia,,"mar, apr, may, jun, jul, aug, sep, oct, nov",4401,1169.0,3835 ft/1169 m,,,148.928488,,3835.0,-35.477288,australia/oceania
,kathmandu / jomson,,,thapa peak,jomson,basic snow/ice climb,Nepal,,"mar, apr, may, oct, nov",1483,6000.0,19685 ft/6000 m,,,85.5833,,19685.0,28.25,asia
,cairns,cape york ranges,,"carbine, mt",mossman,scramble,Australia,,"apr, may, jun, jul, aug, sep",4313,1378.0,4521 ft/1378 m,,,145.272257,,4521.0,-16.422226,australia/oceania
,,,,monviso,,,Italy,,"aug, sep",1487,3848.0,12625 ft/3848 m,,,7.091667,,12625.0,44.6675,europe
,canberra,south nsw great dividing range,,"rob roy, mount",tuggeranong,walk up,Australia,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4402,1086.0,3563 ft/1086 m,,,149.128645,,3563.0,-35.49497,australia/oceania
,"medford, or",cascade range,,soda mountain,"ashland, oregon",walk up,United States,,"apr, may, jun, jul, aug, sep, oct",3308,1857.0,6091 ft/1857 m,,oregon,-122.479062,,6091.0,42.064683,north america
,portland,northwest u.s. coast ranges,,trask mountain,"yamhill, oregon",walk up,United States,,"apr, may, jun, jul, aug, sep, oct",3309,1040.0,3412 ft/1040 m,,oregon,-123.456501,,3412.0,45.371499,north america
,"boise, id",great basin ranges,,beatys butte,"lakeview, or",scramble,United States,,"feb, mar, apr, may, jun, jul, aug, sep, oct, nov",3306,2413.0,7918 ft/2413 m,,oregon,-119.3307,,7918.0,42.386,north america
,"medford, or",cascade range,,grizzly peak,"ashland, oregon",walk up,United States,,"may, jun, jul, aug, sep, oct",3307,1804.0,5920 ft/1804 m,,oregon,-122.616606,,5920.0,42.269592,north america
,,sierra nevada,,"guyot, mount",lone pine,walk up,United States,,"jun, jul, aug, sep",1489,3749.0,12300 ft/3749 m,,california,-118.362,,12300.0,36.5089,north america
,"dubrovnik, tivat",dinaric alps,1868.0,orjen,herceg novi,scramble,Serbia and Montenegro,,"jun, jul, aug, sep, oct",1488,1894.0,6214 ft/1894 m,ascherson,,18.545,,6214.0,42.57,europe
,"boise, id",columbia plateau,,"fanny, mount","lagrande, or",,United States,,"jun, jul, aug, sep, oct",3302,2175.0,7136 ft/2175 m,,oregon,-117.730865,,7136.0,45.307734,north america
,"boise, id",columbia plateau,,fields peak,"john day, oregon",walk up,United States,,"may, jun, jul, aug, sep, oct",3303,2244.0,7362 ft/2244 m,,oregon,-119.2587,,7362.0,44.3386,north america
,eugene airport,great basin ranges,,cougar peak,"lakeview, or",scramble,United States,,"jun, jul, aug, sep, oct",3300,2406.0,7894 ft/2406 m,,oregon,-120.631078,,7894.0,42.307101,north america
,"boise, id",columbia plateau,,table rock,"john day, oregon",walk up,United States,,"jun, jul, aug, sep, oct",3301,2402.0,7879 ft/2402 m,,oregon,-118.315887,,7879.0,44.333672,north america
,"delhi, india",garhwal himalaya,1938.0,chaukhamba 1,,major mountain expedition,India,,"jun, jul, aug, sep",797,7138.0,23418 ft/7138 m,,,79.2833,,23418.0,30.7333,asia
,aeropuerto internacional simon bolivar,coastal venezuela,1800.0,pico oriental,caracas,walk up,Venezuela,,"jan, feb, mar, oct, nov, dec",796,2640.0,8661 ft/2640 m,alejandro de humboldt,,-66.839361,,8661.0,10.537602,south america
,glasgow,scottish highlands,,sgurr a' mhaim,fort william,walk up,United Kingdom,,,795,1099.0,3605 ft/1099 m,,,-5.00432,,3605.0,56.7569,europe
,linz,salzkammergut,1817.0,grosser priel,hinterstoder,walk up,Austria,,"jun, jul, aug, sep",794,2515.0,8251 ft/2515 m,sigmund graf von engl,,14.063333,,8251.0,47.716944,europe
,barcelona,pyrenees,,pica d'estats,areu,scramble,Spain,,jul,793,3143.0,10312 ft/3143 m,,,1.396551,,10312.0,42.6683,europe
,milan,brenta-adamello-garda group,1864.0,adamello,ponte di legno passo del tonale,basic snow/ice climb,Italy,,"may, jun, jul, aug",1716,3554.0,11660 ft/3554 m,julius payer,,10.496389,,11660.0,46.156111,europe
,asturias,cordillera cantabrica,1933.0,neveron de urriellu,arenas de cabrales,walk up,Spain,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",791,2559.0,8396 ft/2559 m,carlos mier y emilio ribera,,-4.832611,,8396.0,43.178143,europe
,fagernes,,,ostre leirungstind,fagernes,walk up,Norway,,"jul, aug, sep",790,2288.0,7506 ft/2288 m,,,,,7506.0,,europe
,kathmandu,central nepal himalaya,,chulu east,kathmandu,basic snow/ice climb,Nepal,,"apr, may",1719,1847.0,6060 ft/1847 m,,,,,6060.0,,asia
,,,,wachusett mtn.,,walk up,United States,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",1718,611.0,2006 ft/611 m,,massachusetts,-71.887,,2006.0,42.489,north america
,afonso pena,,1941.0,"parana, pico",curitiba,walk up,Brazil,,"apr, may, jun, jul, aug, sep",2145,1877.0,6158 ft/1877 m,alfredo mysing and rudolph stamm,,-48.811759,,6158.0,-25.252975,south america
,manchester,lake district,,pillar,wasdale head,walk up,United Kingdom,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",799,892.0,2926 ft/892 m,,,-3.28119,,2926.0,54.4975,europe
,geneva,,,dents du midi,"champery, monthey, martigny",walk up,Switzerland,,"jun, jul, aug, sep",798,3257.0,10686 ft/3257 m,,,6.93333,,10686.0,46.1667,europe
,,otztal alps,1891.0,wildgrat,umhausen,scramble,Austria,,"jul, aug, sep",1270,2974.0,9757 ft/2974 m,dr.l. und f.lantschner mit f.gstrein,,10.826667,,9757.0,47.140556,europe
,christchurch / mt cook,south island,,"ylmer, mt",christchurch / mt cook village,basic snow/ice climb,New Zealand,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2799,2699.0,8855 ft/2699 m,"barbara, jim, george dennistoun, ada julius, jack clark",,170.367,,8855.0,-43.5167,australia/oceania
,,,,lyskamm,,basic snow/ice climb,Switzerland,,"jul, aug",1271,4527.0,14852 ft/4527 m,,,7.835569,,14852.0,45.922498,europe
,dulles international,blue ridge mountains,,old rag mountain,front royal,scramble,United States,,"apr, may, sep, oct",2415,1003.0,3291 ft/1003 m,,virginia,-78.3144,,3291.0,38.5517,north america
,colorado springs,sangre de cristo range,,humboldt peak,westcliffe,walk up,United States,,"jun, jul, aug, sep",610,4287.0,14064 ft/4287 m,,colorado,-105.555,,14064.0,37.9761,north america
,slc international,,,"delano, mount","beaver, utah",scramble,United States,,"jun, jul, aug, sep",2142,3710.0,12173 ft/3710 m,,utah,-112.371,,12173.0,38.3692,north america
,insbruck,otztal alps,,zwiselbacher rosskogel,niederthai,basic snow/ice climb,Austria,,"jul, aug, sep",1139,3081.0,10108 ft/3081 m,,,,,10108.0,,europe
,innsbruck,otztal alps,,seikogel,vent,basic snow/ice climb,Austria,,"jun, jul, aug, sep",1138,3355.0,11007 ft/3355 m,,,,,11007.0,,europe
,jindabyne / thredbo,,,abbott peak,jindabyne / thredbo,,Australia,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2417,2145.0,7037 ft/2145 m,,,,,7037.0,,australia/oceania
,munich,bavarian alps,,hirschberg,kreuth,walk up,Germany,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",1133,1670.0,5479 ft/1670 m,,,11.6833,,5479.0,47.65,europe
,anchorage,,2000.0,"schou, mt",mccarthy,technical climb,United States,,"apr, may, jun, jul",1132,2765.0,9072 ft/2765 m,"sean burch, chad taylor",alaska,-141.05,,9072.0,61.55,north america
,praha,,,tok,pribram,walk up,Czech Republic,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",1131,865.0,2838 ft/865 m,?,,,,2838.0,,europe
,jindabyne / sydney,,1840.0,"townsend, mount",thredbo / jindabyne,walk up,Australia,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2416,2209.0,7247 ft/2209 m,count paul edmund de strzelecki,,,,7247.0,,australia/oceania
,trabzon airport,,,kackar,ayder and yusufeli,scramble,Turkey,,"jul, aug",1137,3942.0,12933 ft/3942 m,,,41.154785,,12933.0,40.830956,asia
,pamplona,pyrenees,,mesa de los tres reyes,isaba,walk up,Spain,,"jun, jul, aug, sep",1136,2434.0,7985 ft/2434 m,,,-0.724068,,7985.0,42.922492,europe
,geneva,savoy alps,,aiguille blanche de peuterey,courmayeur,technical climb,Italy,,"jul, aug, sep",1135,4112.0,13491 ft/4112 m,,,,,13491.0,,europe
,seattle,cascade range,1946.0,blue lake peak,,scramble,United States,,"may, jun, jul, aug, sep",617,2380.0,7808 ft/2380 m,,washington,-120.657177,,7808.0,48.506739,north america
,luxembourg,,,erbeskopf,trier,walk up,Germany,,"apr, may, jun, jul, aug, sep, oct",2419,818.0,2684 ft/818 m,,,7.090556,,2684.0,49.730556,europe
alberta,calgary airport,canadian rockies,1897.0,cascade mountain,banff,scramble,Canada,,,1179,2998.0,9836 ft/2998 m,steward and wilson,,-115.562,,9836.0,51.2278,north america
,syanboche / lukla,,2002.0,kyajo ri,namche bazaar,major mountain expedition,Nepal,,"apr, may, sep, oct, nov",2418,6186.0,20295 ft/6186 m,"duncan wilson, vincent marche",,,,20295.0,,asia
,atlanta,blue ridge mountains,,tray mountain,helen,walk up,United States,,"apr, may, jun, jul, aug, sep, oct",1277,1350.0,4430 ft/1350 m,,georgia,-83.6838,,4430.0,34.8012,north america
,la paz,bolivian andes,,acotango,la paz,basic snow/ice climb,Bolivia,,aug,3019,6052.0,19856 ft/6052 m,,,-69.05,,19856.0,-18.383,south america
,,sierra nevada,,castle rock spire,"visalia, california",technical climb,United States,,"may, jun, jul",1994,2317.0,7600 ft/2317 m,"jim wilson, allen steck, phil bettler, will siri, bill long",california,,,7600.0,,north america
,seattle-tacoma,cascade range,,unicorn peak,ashford,technical climb,United States,,"may, jun, jul, aug, sep",3012,2125.0,6971 ft/2125 m,,washington,-121.700964,,6971.0,46.745213,north america
,seattle-tacoma,olympic mountains,,"lena, mount",olympia,walk up,United States,,"jul, aug, sep, oct",3013,1827.0,5995 ft/1827 m,,washington,-123.214889,,5995.0,47.639803,north america
,anchorage,chugach mountains,,"palmer, mt",anchorage,,United States,,,3010,2.0,6970 ft/2 m,,alaska,-148.658,,6970.0,61.3192,north america
,anchorage,talkeetna mountains,,montana peak,anchorage,scramble,United States,,"jul, aug",3011,2105.0,6907 ft/2105 m,,alaska,-149.0,,6907.0,61.9,north america
,arequipa,peruvian andes,,picchu picchu,arequipa,basic snow/ice climb,Peru,,"may, jun, jul, aug, sep, oct, nov",3016,5664.0,18583 ft/5664 m,,,-71.2533,extinct,18583.0,-16.4414,south america
,seattle-tacoma,cascade range,1859.0,winchester mountain,bellingham,walk up,United States,,"aug, sep, oct",3014,1988.0,6521 ft/1988 m,henry custer,washington,-121.643071,,6521.0,48.956524,north america
,melbourne,,,"buller, mt",mansfield,walk up,Australia,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3015,1804.0,5919 ft/1804 m,,,146.449,,5919.0,-37.1475,australia/oceania
,toulouse,pyrenees,,cagire,saint-gaudens,walk up,France,,"may, jun, jul, aug, sep, oct",519,1912.0,6273 ft/1912 m,,,0.7661,,6273.0,42.9464,europe
,geneva,pennine alps,,mettelhorn,zermatt,walk up,Switzerland,,"jun, jul, aug, sep",518,3406.0,11174 ft/3406 m,,,7.741606,,11174.0,46.055633,europe
,seatac,cascade range,,bandera mountain,north bend,walk up,United States,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, dec",926,1597.0,5240 ft/1597 m,,washington,-121.538,,5240.0,47.4155,north america
,"innsbruck, austria",otztal alps,,ramolkogel,"vent , obergurgl",basic snow/ice climb,Austria,,"jul, aug, sep",1009,3549.0,11644 ft/3549 m,,,10.958889,,11644.0,46.846667,europe
,"geneva, switzerland",pennine alps,1855.0,monte rosa,"zermatt, switzerland, (approach from north) alagna, italy, (approach from south)",technical climb,Italy,,"jul, aug, sep",1008,4633.0,15203 ft/4633 m,"charles hudson, j. smyth, c. smyth, e. stephenson, john birkbeck, and party",,7.867623,,15203.0,45.937028,europe
,athens,greek-albanian ranges,,karava,,walk up,Greece,,"jan, feb, apr, may, jun",511,2184.0,7165 ft/2184 m,,,21.5833,,7165.0,39.3167,europe
,seattle,cascade range,,cal peak,winthrop,walk up,United States,,"may, jun, jul, aug, sep, oct",510,2283.0,7489 ft/2283 m,,washington,-120.126057,,7489.0,48.907834,north america
,"moscow, russia,",central caucasus,1888.0,shkhara,"mineral'nye vody, russia",technical climb,,,"jun, jul, aug, sep",1005,5200.0,17060 ft/5200 m,"j. g. cockin,",,43.1,,17060.0,43.0,europe
alberta,calgary,canadian rockies,,"rae, mount","canmore, alberta",scramble,Canada,,,512,3218.0,10558 ft/3218 m,,,-114.974,,10558.0,50.6223,north america
,bangor international,,,the owl,,walk up,United States,,"jun, jul, aug, sep",515,1139.0,3736 ft/1139 m,,maine,-68.95,,3736.0,45.9,north america
,vancouver,british columbia coast ranges,,freda mountain,powell river,walk up,Canada,,"jun, jul, aug, oct, dec",1002,1890.0,6200 ft/1890 m,,,,,6200.0,,north america
,"seattle, washington",cascade range,1873.0,"stuart, mount","leavenworth, washington",technical climb,United States,,"jun, jul, aug",1001,2869.0,9415 ft/2869 m,a. mcpherson and party,washington,-120.902395,,9415.0,47.475158,north america
,"friedrichshafen, memmingen",,1855.0,trettachspitze,oberstdorf,technical climb,Germany,,"jul, aug, sep, oct",516,2595.0,8514 ft/2595 m,"urban, alois und mathias jochum",,10.295863,,8514.0,47.303709,europe
,,wind river range,1924.0,"woodrow wilson, mount",,technical climb,United States,,"jun, jul, aug",4189,4115.0,13502 ft/4115 m,"albert bessine, edgar doll and carol thompson-jones",wyoming,-109.652222,,13502.0,43.166667,north america
,montrose,,,ajax peak,telluride,basic snow/ice climb,United States,,"jun, jul, aug, sep",4188,3897.0,12785 ft/3897 m,,colorado,-107.759274,,12785.0,37.930137,north america
,santa fe,sangre de cristo range,,santa fe baldy,santa fe,walk up,United States,,"may, jun, jul, aug, sep",1225,3847.0,12622 ft/3847 m,,new mexico,-105.758,,12622.0,35.8322,north america
,pokhara,central nepal himalaya,,machhapuchhare,pokhara,,Nepal,,,1224,7000.0,22966 ft/7000 m,,,83.946227,,22966.0,28.495547,asia
,"milan, innsbruck",otztal alps,,hinterer seelenkogel,pfelders,scramble,Italy,,"jul, aug",1223,3470.0,11384 ft/3470 m,,,11.05,,11384.0,46.8,europe
,"islamabad, pakistan",karakoram ,1956.0,gasherbrum ii,aksole,major mountain expedition,Pakistan,,"jul, aug",626,8035.0,26360 ft/8035 m,austrian expedition,,76.653028,,26360.0,35.757831,asia
,zurich,,,saulakopf,brand,technical climb,Austria,,"jul, aug, sep",625,2516.0,8254 ft/2516 m,,,9.1,,8254.0,47.0833,europe
,srinagar or leh,punjab himalaya,,kun,,major mountain expedition,India,,"jun, jul, aug",624,7077.0,23218 ft/7077 m,,,76.056992,,23218.0,34.012807,asia
,delhi,,,rudragaira,uttarkashi,walk up,India,,"mar, apr, may, jun",4181,5819.0,19091 ft/5819 m,,,78.898831,,19091.0,30.81038,asia
,zurich,rhaetian alps,,flüela-wisshorn,davos,scramble,Switzerland,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4180,3085.0,10121 ft/3085 m,,,9.96456,,10121.0,46.7608,europe
,geneve,,,breithorn (simplon),brig,basic snow/ice climb,Switzerland,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4183,3438.0,11280 ft/3438 m,,,8.08401,,11280.0,46.23837,europe
,geneva,pennine alps,1854.0,strahlhorn,saas-fee,basic snow/ice climb,Switzerland,,"jul, aug, sep",628,4190.0,13747 ft/4190 m,"christopher smyth, ulrich lauener, edmund j. grenville, and franz-josef andenmatten",,7.901831,,13747.0,46.013327,europe
,"srinagar, indian administered kashmir",,,affarwat,gulmarg,scramble,India,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4185,4143.0,13593 ft/4143 m,,,74.337015,,13593.0,34.020048,asia
,geneve,pennine alps,,pointes de mourti,"griments, sierre",basic snow/ice climb,Switzerland,,"jul, aug, sep",4184,3564.0,11693 ft/3564 m,,,7.58593,,11693.0,46.07258,europe
